Artist,Album Name,Album Duration MS,Year Released
Drake,So Far Gone,4437710,2009
Drake,Thank Me Later (Int'l Version),3927422,2010
Drake,Take Care (Deluxe),5005808,2011
Drake,Nothing Was The Same (Deluxe),4318651,2013
Drake,Nothing Was The Same,3568770,2013
Drake,What A Time To Be Alive,2435958,2015
Drake,If You're Reading This It's Too Late,4129729,2015
Drake,Views,4875485,2016
Drake,More Life,4899126,2017
Drake,Scorpion,5426391,2018
Drake,Care Package,4425273,2019
Drake,Dark Lane Demo Tapes,2995371,2020
Drake,Certified Lover Boy,5173117,2021
Drake,Her Loss,3640545,2022
Drake,"Honestly, Nevermind",3152558,2022
Drake,For All The Dogs Scary Hours Edition,6528706,2023
Drake,For All The Dogs,5090673,2023
