Artist,Album Name,Album Duration MS,Year Released
Elton John,Empty Sky,3299423,1969
Elton John,Tumbleweed Connection,6487751,1970
Elton John,Elton John,6511042,1970
Elton John,Madman Across The Water,2718130,1971
Elton John,17-11-70,3115584,1971
Elton John,Honky Château (50th Anniversary Edition),7803781,1972
Elton John,Honky Chateau,2886622,1972
Elton John,Goodbye Yellow Brick Road (Remastered),4568531,1973
Elton John,Don't Shoot Me I'm Only The Piano Player,3364022,1973
Elton John,Caribou (Remastered 1995),3837900,1974
Elton John,Rock Of The Westies,2903782,1975
Elton John,Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition),8244566,1975
Elton John,Captain Fantastic And The Brown Dirt Cowboy,3752269,1975
Elton John,Here And There,8360671,1976
Elton John,Blue Moves,5091126,1976
Elton John,A Single Man,4183861,1978
Elton John,Victim Of Love,2144624,1979
Elton John,21 At 33,2580064,1980
Elton John,The Fox,2743717,1981
Elton John,Jump Up!,2569158,1982
Elton John,Too Low For Zero,3811061,1983
Elton John,Breaking Hearts,2440757,1984
Elton John,Ice On Fire,3860822,1985
Elton John,Leather Jackets,2775343,1986
Elton John,Reg Strikes Back,3852661,1988
Elton John,Sleeping With The Past (Remastered with bonus tracks),3073837,1989
Elton John,The Complete Thom Bell Sessions,2088358,1989
Elton John,The One,4102727,1992
Elton John,Duets,4464861,1993
Elton John,Made In England,3159821,1995
Elton John,The Big Picture,3122276,1997
Elton John,Live In Australia (Remastered 1998),4426221,1998
Train,Train,2762010,1998
Elton John,One Night Only,4573553,2000
Elton John,The Road To El Dorado (Original Motion Picture Soundtrack),3733023,2000
Elton John,Songs From The West Coast (Expanded Edition),4625007,2001
Train,Drops Of Jupiter,2879944,2001
Mario,Mario,2699157,2002
Maroon 5,Songs About Jane,2759530,2002
Maroon 5,Songs About Jane: 10th Anniversary Edition,6339723,2002
Fall Out Boy,Take This to Your Grave,2366874,2003
Fall Out Boy,Evening Out With Your Girlfriend,1781824,2003
Train,My Private Nation,2591837,2003
John Legend,Live at SOB's,2655156,2003
Elton John,Peachtree Road (Expanded Edition),3700421,2004
Train,Alive At Last,4525742,2004
Maroon 5,1.22.03 Acoustic,1768331,2004
Fall Out Boy,From Under The Cork Tree,2579435,2005
John Legend,Get Lifted,3456675,2005
Elton John,The Captain and The Kid,2762223,2006
Fall Out Boy,From Under The Cork Tree Limited Tour Edition,3609046,2006
Train,"For Me, It's You",3095835,2006
John Legend,Smooth Sax Tribute To John Legend,2180183,2006
John Legend,Once Again,3545394,2006
Miley Cyrus,Meet Miley Cyrus,1985810,2007
Beyoncé,B'Day Deluxe Edition,5234714,2007
Elton John,Elton 60 - Live At Madison Square Garden,4410970,2007
Mario,Go,3146330,2007
Fall Out Boy,Infinity On High,3893661,2007
Maroon 5,Live Friday The 13th,4531490,2007
Taylor Swift,Live From Clear Channel Stripped 2008,1675755,2008
Beyoncé,I AM...SASHA FIERCE,3709354,2008
Panic! At The Disco,Live in Chicago,4339747,2008
John Legend,Evolver,3045566,2008
Maroon 5,Call And Response: The Remix Album,4516620,2008
Lady Gaga,The Fame,3246156,2008
OneRepublic,Waking Up,2854129,2009
Justin Bieber,My World,1559237,2009
Mario,D.N.A.,2749211,2009
Lady Gaga,The Fame Monster (Deluxe Edition),5300207,2009
Taylor Swift,Speak Now World Tour Live,4753939,2010
Miley Cyrus,Can't Be Tamed,2653782,2010
Beyoncé,I Am...World Tour,4675830,2010
Elton John,The Union (Deluxe),4290034,2010
Elton John,The Union,3800079,2010
Justin Bieber,My World 2.0,2253464,2010
Train,"Save Me, San Francisco (Golden Gate Edition)",4603820,2010
John Legend,Wake Up!,3773528,2010
Beyoncé,4,3462674,2011
Ed Sheeran,Loose Change,1904436,2011
Ed Sheeran,Live at the Bedford,1897892,2011
Ed Sheeran,No.5 Collaborations Project,2113771,2011
Ed Sheeran,+,3943217,2011
The Weeknd,Echoes Of Silence (Original),2747876,2011
The Weeknd,Thursday (Original),3019416,2011
The Weeknd,House Of Balloons (Original),2963231,2011
Justin Bieber,Under The Mistletoe (Deluxe Edition),3039076,2011
Justin Bieber,Under The Mistletoe,2272063,2011
Justin Bieber,Never Say Never - The Remixes,1690664,2011
The Weeknd,Trilogy,9594945,2012
Justin Bieber,Believe (Deluxe Edition),3790486,2012
Justin Bieber,Believe,2895234,2012
Bruno Mars,Unorthodox Jukebox,2096849,2012
Train,California 37,2389449,2012
Miley Cyrus,Bangerz (Deluxe Version),3667621,2013
Elton John,The Diving Board (Deluxe Version),4587833,2013
Elton John,The Diving Board,3460721,2013
The Weeknd,Kiss Land,3339917,2013
The Neighbourhood,I Love You. (Chopped Not Slopped),3763076,2013
The Neighbourhood,I Love You. (Slowed Down),3075478,2013
The Neighbourhood,I Love You. (10th Anniversary Edition),3587888,2013
The Neighbourhood,I Love You. (Sped Up),2400212,2013
Justin Bieber,Believe Acoustic,2188010,2013
Ariana Grande,Yours Truly,2786049,2013
Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",1956543,2013
Fall Out Boy,Save Rock And Roll (Commentary),872875,2013
Fall Out Boy,Save Rock And Roll,2500357,2013
Bastille,All This Bad Blood,4993510,2013
John Legend,Spotify Sessions,1776879,2013
John Legend,Love In The Future (Expanded Edition),4050674,2013
Tom Odell,Long Way Down (Expanded Edition),3487715,2013
Tom Odell,Long Way Down (Deluxe),3119035,2013
Lady Gaga,ARTPOP,3325916,2013
SZA,Z,2446252,2014
Metro Boomin,19 & Boomin,3638905,2014
Beyoncé,BEYONCÉ [Platinum Edition],5611167,2014
Sam Smith,In The Lonely Hour,1970623,2014
Sam Smith,Sam Smith - Live From The Roundhouse,3430691,2014
Glass Animals,ZABA (Deluxe),3661895,2014
Glass Animals,ZABA,2737956,2014
Ed Sheeran,x (Deluxe Edition),3956377,2014
The Neighbourhood,#000000 & #FFFFFF (No DJ Version),3219168,2014
Justin Bieber,Journals,3539862,2014
Ariana Grande,My Everything (Deluxe),3058409,2014
Bastille,"VS. (Other People’s Heartache, Pt. III)",1938996,2014
Train,Bulletproof Picasso,2623691,2014
Maroon 5,V,2637077,2014
MAGIC!,Don't Kill the Magic,2933423,2014
Tony Bennett,Cheek To Cheek (Deluxe),2676248,2014
Logic,Under Pressure (Deluxe),4059783,2014
Logic,Under Pressure,3387917,2014
Miley Cyrus,Miley Cyrus & Her Dead Petz,5539163,2015
Thomas Rhett,Tangled Up,2660343,2015
Sam Smith,In The Lonely Hour (Drowning Shadows Edition),4984427,2015
Glass Animals,Remixes,3513324,2015
The Weeknd,Beauty Behind The Madness,3912796,2015
The Neighbourhood,Wiped Out!,2722798,2015
Justin Bieber,Purpose (Deluxe),4179341,2015
Shawn Mendes,Handwritten (Revisited),3400449,2015
Shawn Mendes,Handwritten (Deluxe),3153528,2015
Shawn Mendes,Handwritten,2592503,2015
Fall Out Boy,Make America Psycho Again,2469823,2015
Fall Out Boy,American Beauty/American Psycho,2347009,2015
Logic,The Incredible True Story,3696608,2015
Jack Harlow,18,1537829,2016
